Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-22,4.612294722773581,4.6691365242004395,4.506731930413836,4.6691365242004395,17100,0.0,0
2017-02-23,4.669135708112075,4.669135708112075,4.4904906861710305,4.579813003540039,39100,0.0,0
2017-02-24,4.563573336549466,4.604174678525705,4.547332877199589,4.555453300476074,20900,0.0,0
2017-02-27,4.5879334254116,4.6204143384917895,4.531091633919755,4.579813003540039,14500,0.0,0
2017-02-28,4.54733263539194,4.54733263539194,4.393048086170753,4.4255290031433105,48100,0.0,0
2017-03-01,4.43364961350273,4.57981374606104,4.3768078127951755,4.4986114501953125,37100,0.0,0
2017-03-02,4.4904912629982485,4.498611298709844,4.360567206785035,4.368687629699707,34700,0.0,0
2017-03-03,4.401169187371431,4.441770146243453,4.336207343413689,4.3930487632751465,30300,0.0,0
2017-03-06,4.393048557397787,4.409289017626124,4.2793653357994295,4.3118462562561035,40100,0.0,0
2017-03-07,4.263124478652867,4.425529065815555,4.263124478652867,4.376807689666748,38700,0.0,0
2017-03-08,4.62041455623762,5.075147747993469,4.466130018234253,4.8721418380737305,126000,0.0,0
2017-03-09,4.888382295379188,4.904622752684645,4.725977722324615,4.8721418380737305,98500,0.0,0
2017-03-10,4.872143034452527,5.042668071634617,4.7422193441054645,5.010187149047852,56800,0.0,0
2017-03-13,5.0101868526622315,5.0101868526622315,4.799060481134633,4.815300941467285,23200,0.0,0
2017-03-14,4.823419570922852,4.912742263125952,4.750337333010953,4.823419570922852,58200,0.0,0
2017-03-15,4.880262145395554,4.880262145395554,4.750338102808622,4.864021301269531,39400,0.0,0
2017-03-16,4.859910392831682,4.999704835960965,4.843464010823101,4.95858907699585,22100,0.075,0
2017-03-17,4.95858913873872,5.081936809282633,4.8928032177725695,4.9668121337890625,143200,0.0,0
2017-03-20,4.909248563732531,5.007927228296138,4.794123912539688,4.925694942474365,79400,0.0,0
2017-03-21,4.93391864282416,4.950365022615736,4.794124218539456,4.835240364074707,84500,0.0,0
2017-03-22,4.835241534664824,4.917473453530678,4.498090079145745,4.555652618408203,88200,0.0,0
2017-03-23,4.547428913396674,4.74478548789654,4.547428913396674,4.687222957611084,28400,0.0,0
2017-03-24,4.7118936503918105,4.884580883032824,4.572099186624063,4.868134498596191,56400,0.0,0
2017-03-27,4.892802784638456,5.106606126598025,4.785901505771319,5.081936359405518,243700,0.0,0
2017-03-28,5.081936183912694,5.1559450908218425,4.983257902775585,5.139498710632324,87200,0.0,0
2017-03-29,5.098383545095837,5.674007746711631,5.040821399413154,5.6657843589782715,254600,0.0,0
2017-03-30,5.591775610533093,5.920703264706939,5.295740329663938,5.8302483558654785,154900,0.0,0
2017-03-31,5.854917348517724,6.044050933275783,5.756239058760302,5.9535956382751465,147900,0.0,0
