Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-22,14.88677425975543,14.983441996229786,14.500105157641727,14.548439025878906,1190400,0.0,0
2017-02-23,14.693439157021263,14.693439157021263,14.161768470158044,14.25843620300293,1371100,0.0,0
2017-02-24,14.258434815623612,14.54843706404854,14.06510029063757,14.3551025390625,1018900,0.0,0
2017-02-27,14.451773894689573,14.596775525541188,14.210105431828904,14.30677318572998,1040300,0.0,0
2017-02-28,14.30677218614216,14.30677218614216,13.80410137600448,13.9201021194458,1939700,0.0,0
2017-03-01,14.113438113642687,14.25843881760732,13.92010261250052,14.210104942321777,973500,0.0,0
2017-03-02,14.113435745239258,14.16176869052196,13.968434143715635,14.113435745239258,515800,0.0,0
2017-03-03,14.065101878064716,14.113435745239258,13.823433464083852,14.113435745239258,954600,0.0,0
2017-03-06,14.113439317641262,14.161772275158032,13.949104680786448,14.065105438232422,632400,0.0,0
2017-03-07,14.065102324213072,14.210103008444312,13.968434586797667,14.016768455505371,781900,0.0,0
2017-03-08,14.065102069465826,14.161768883238535,13.90076747197119,13.96843433380127,656000,0.0,0
2017-03-09,13.920100945346606,14.0941025067783,13.871767997741697,13.8717679977417,490400,0.0,0
2017-03-10,13.920099558087022,14.210101824274625,13.823432750619014,14.161767959594727,1225900,0.0,0
2017-03-13,14.113439317641262,14.306773913384554,13.997437638303218,14.065105438232422,624800,0.0,0
2017-03-14,13.968437679414741,14.210106154566873,13.968437679414741,14.065105438232422,396600,0.0,0
2017-03-15,14.161768470158044,14.30677006942537,14.045767743879276,14.25843620300293,501300,0.0,0
2017-03-16,14.306769553634423,14.306769553634423,13.997433372818143,14.161767959594727,444100,0.0,0
2017-03-17,14.161771067036236,14.355106568178405,14.065104238357145,14.210104942321777,1678200,0.0,0
2017-03-20,14.210103008444312,14.258436877152015,13.968434586797667,14.016768455505371,493100,0.0,0
2017-03-21,14.065103986306463,14.161770813253256,13.678433912843357,13.775101661682129,1095600,0.0,0
2017-03-22,13.775101661682127,13.968436237467692,13.630100960315948,13.775101661682129,753200,0.0,0
2017-03-23,13.77510190810221,13.968436487346299,13.67843415753417,13.82343578338623,718400,0.0,0
2017-03-24,13.871769410520898,13.968436237467692,13.775101661682127,13.775101661682129,521500,0.0,0
2017-03-27,13.678433912843357,13.823435536101513,13.630100960315948,13.775101661682129,374600,0.0,0
2017-03-28,13.67843367347006,14.01676986659288,13.67843367347006,13.9201021194458,424500,0.0,0
