Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-22,42.87050608829844,43.598770605965036,42.87050608829844,43.55021667480469,20900,0.0,0
2017-02-23,43.598767358951804,43.64731758235149,40.50121347051378,43.50166320800781,17500,0.0,0
2017-02-24,43.35600878013035,43.40455899932218,42.96759961830715,43.16180419921875,14500,0.0,0
2017-02-27,43.064698963203334,43.35600767924604,42.62774329742765,42.91904830932617,18200,0.0,0
2017-02-28,42.96759575197437,43.35600487884754,41.94802642411224,42.14223098754883,105300,0.0,0
2017-03-01,42.870508247235556,43.69587326049805,42.56949089794879,43.69587326049805,61900,0.0,0
2017-03-02,43.647316054309236,43.647316054309236,42.48209221278676,42.62774658203125,33800,0.0,0
2017-03-03,42.91905052555412,42.967600746020175,42.23933632659611,42.38499069213867,17300,0.0,0
2017-03-06,42.28789204710247,42.28789204710247,39.48164671193277,41.559627532958984,39200,0.0,0
2017-03-07,41.559630302375936,42.53064971927325,41.268325218135764,41.656734466552734,26600,0.0,0
2017-03-08,42.09368028210841,42.09368028210841,41.46252003293525,41.511070251464844,29000,0.0,0
2017-03-09,41.511070251464844,41.85092548531622,41.41396981440566,41.511070251464844,27100,0.0,0
2017-03-10,41.705279236505326,41.850929907484236,40.83136039405332,41.4625244140625,31100,0.0,0
2017-03-13,41.41397248372583,42.67629676757896,41.41397248372583,41.60817337036133,25900,0.0,0
2017-03-14,41.511075130728784,41.94803455714434,41.025565480076985,41.75382995605469,30800,0.0,0
2017-03-15,41.851042812246604,42.62876181139499,41.31636123211063,41.55939865112305,33400,0.05,0
2017-03-16,41.70522434530865,42.19129920383926,41.70522434530865,42.1426887512207,17400,0.0,0
2017-03-17,41.99686986804819,42.8231956707164,41.46218824817718,42.58015823364258,67900,0.0,0
2017-03-20,42.580141004332894,42.580141004332894,41.851028988133855,41.99685287475586,17400,0.0,0
2017-03-21,42.288509462540276,42.288509462540276,39.85813535549774,39.906742095947266,35600,0.0,0
2017-03-22,39.906739066485805,40.39281385099466,39.56648820071213,40.149776458740234,31300,0.0,0
2017-03-23,40.003961908312675,40.92750116277889,39.517887055032844,40.73307418823242,23600,0.0,0
2017-03-24,40.927500665639556,41.17053808932734,40.10117490848381,40.587249755859375,23000,0.0,0
2017-03-27,39.906740212805474,40.68445914866833,39.5664893372581,40.49003219604492,13800,0.0,0
2017-03-28,40.344215999681644,40.6844669403925,39.809534360654396,40.53864669799805,40100,0.0,0
2017-03-29,40.295612698016875,40.878901134387704,40.24700594639554,40.44143295288086,34800,0.0,0
2017-03-30,40.73307567222433,41.60800821492956,40.73307567222433,41.21915054321289,56700,0.0,0
2017-03-31,41.26775323097279,41.948258725137535,41.07332256000334,41.170536041259766,70800,0.0,0
2017-04-03,41.36496771393859,41.65661187322702,40.30532442537385,41.46218490600586,46300,0.0,0
2017-04-04,41.559406522999026,41.83160729714504,41.267762306634374,41.656620025634766,141800,0.0,0
2017-04-05,41.948257940143066,42.0940781592989,40.781677644613694,40.92749786376953,44700,0.0,0
2017-04-06,40.68446220329447,41.65661187322702,40.58724871968389,41.46218490600586,41300,0.0,0
2017-04-07,41.55939838961644,41.851042548904864,40.68446220329447,41.46218490600586,35900,0.0,0
2017-04-10,41.65661086445507,41.70522131353988,40.8788918890339,41.170536041259766,56200,0.0,0
2017-04-11,41.07332430314198,42.045473990790306,41.07332430314198,41.705223083496094,39200,0.0,0
2017-04-12,41.70522039756825,41.70522039756825,40.830284251650276,40.87889099121094,16700,0.0,0
